"kpi","time_grouping","space_boundary","space_grouping","avg_sites_reporting","est_uncertainty"
286,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 356, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.271292, 5.525604], [-0.26149, 5.531206], [-0.261354, 5.530717], [-0.264533, 5.524106], [-0.26794, 5.520183], [-0.268049, 5.520222], [-0.268846, 5.520597], [-0.269602, 5.521049], [-0.270311, 5.521571], [-0.270964, 5.522161], [-0.271145, 5.52236], [-0.271292, 5.525604]]]}}",356,0.983,1
188,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 16, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.139861, 5.685825], [-0.136997, 5.685182], [-0.138059, 5.677502], [-0.14385, 5.679081], [-0.139861, 5.685825]]]}}",16,0.983,1
71.8,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 221, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.206306, 5.577218], [-0.202841, 5.576249], [-0.200391, 5.570716], [-0.20396, 5.570217], [-0.20604, 5.575398], [-0.206306, 5.577218]]]}}",221,0.980,1
164,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 474, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.429838, 5.806076], [-0.429977, 5.80608], [-0.42997, 5.805932], [-0.429981, 5.805727], [-0.429996, 5.805394], [-0.430035, 5.805102], [-0.430138, 5.804316], [-0.430279, 5.803379], [-0.430295, 5.802847], [-0.430186, 5.802613], [-0.430031, 5.802379], [-0.430124, 5.802019], [-0.430031, 5.801582], [-0.429923, 5.800707], [-0.429768, 5.800207], [-0.429472, 5.799722], [-0.429317, 5.79866], [-0.429301, 5.79841], [-0.429052, 5.798582], [-0.428677, 5.798673], [-0.428319, 5.798767], [-0.428194, 5.798799], [-0.427882, 5.798721], [-0.427383, 5.798689], [-0.426509, 5.799032], [-0.425904, 5.798987], [-0.425633, 5.799007], [-0.424873, 5.799345], [-0.424526, 5.799499], [-0.423949, 5.799881], [-0.42353, 5.800304], [-0.423441, 5.800568], [-0.42299, 5.801261], [-0.422674, 5.801709], [-0.421069, 5.80793], [-0.421581, 5.807931], [-0.421848, 5.807931], [-0.422073, 5.807925], [-0.422313, 5.807918], [-0.422605, 5.80791], [-0.423376, 5.807877], [-0.423861, 5.807803], [-0.423971, 5.807785], [-0.424246, 5.807743], [-0.424723, 5.807704], [-0.424944, 5.807685], [-0.425201, 5.807664], [-0.425521, 5.807627], [-0.425785, 5.807619], [-0.425779, 5.807888], [-0.42577, 5.80798], [-0.42574, 5.808302], [-0.425626, 5.808759], [-0.425607, 5.808991], [-0.425626, 5.809335], [-0.425719, 5.809673], [-0.425742, 5.80989], [-0.425518, 5.810561], [-0.425655, 5.811134], [-0.425597, 5.811443], [-0.425368, 5.812079], [-0.425248, 5.812387], [-0.425061, 5.812621], [-0.424887, 5.813007], [-0.424758, 5.813296], [-0.424702, 5.813351], [-0.424664, 5.81358], [-0.424743, 5.813812], [-0.424971, 5.814154], [-0.424971, 5.814612], [-0.424742, 5.814956], [-0.424012, 5.815595], [-0.423153, 5.816104], [-0.422348, 5.816484], [-0.422227, 5.816588], [-0.422009, 5.816788], [-0.421803, 5.816977], [-0.421717, 5.817363], [-0.421717, 5.817707], [-0.421867, 5.818625], [-0.421867, 5.818773], [-0.421866, 5.819505], [-0.421821, 5.820608], [-0.421751, 5.820915], [-0.421722, 5.821045], [-0.421722, 5.821046], [-0.421721, 5.821048], [-0.421658, 5.821237], [-0.421539, 5.821589], [-0.42131, 5.822162], [-0.42064, 5.823253], [-0.420219, 5.823675], [-0.419902, 5.823947], [-0.419585, 5.82422], [-0.419301, 5.824647], [-0.418987, 5.825352], [-0.418661, 5.825787], [-0.418535, 5.825956], [-0.418311, 5.826102], [-0.418151, 5.826424], [-0.418122, 5.826538], [-0.418093, 5.826653], [-0.418112, 5.826997], [-0.418041, 5.827218], [-0.418005, 5.827331], [-0.418001, 5.827338], [-0.417981, 5.827382], [-0.417951, 5.827448], [-0.417638, 5.828099], [-0.417483, 5.828448], [-0.417323, 5.828979], [-0.416803, 5.830209], [-0.416372, 5.831635], [-0.416255, 5.831829], [-0.416049, 5.832255], [-0.415604, 5.832828], [-0.415133, 5.83337], [-0.414678, 5.833711], [-0.414511, 5.833933], [-0.414213, 5.834189], [-0.412878, 5.835096], [-0.424285, 5.839066], [-0.424741, 5.838052], [-0.424782, 5.83755], [-0.424868, 5.837157], [-0.424954, 5.836764], [-0.425263, 5.836114], [-0.425414, 5.83596], [-0.425759, 5.835731], [-0.426103, 5.835599], [-0.426331, 5.8356], [-0.426676, 5.835506], [-0.427254, 5.834837], [-0.427599, 5.834586], [-0.427827, 5.834509], [-0.42886, 5.834474], [-0.429432, 5.834282], [-0.429664, 5.834169], [-0.430122, 5.833807], [-0.430581, 5.833445], [-0.431044, 5.833137], [-0.431272, 5.833063], [-0.431961, 5.832928], [-0.432821, 5.832605], [-0.433252, 5.832444], [-0.433682, 5.832282], [-0.43391, 5.832224], [-0.434142, 5.832215], [-0.434373, 5.832205], [-0.434601, 5.832244], [-0.435176, 5.832454], [-0.435405, 5.83257], [-0.435933, 5.832924], [-0.436208, 5.833299], [-0.43632, 5.833528], [-0.436378, 5.8337], [-0.436436, 5.833873], [-0.436435, 5.834104], [-0.436377, 5.834275], [-0.436319, 5.834446], [-0.435956, 5.834903], [-0.435727, 5.835248], [-0.43563, 5.835499], [-0.43563, 5.836091], [-0.435676, 5.836511], [-0.436072, 5.8372], [-0.43611, 5.837429], [-0.436091, 5.837658], [-0.436033, 5.837754], [-0.435998, 5.837956], [-0.435963, 5.838157], [-0.436013, 5.838559], [-0.436089, 5.838788], [-0.436243, 5.838998], [-0.436348, 5.839315], [-0.436452, 5.839632], [-0.436606, 5.839784], [-0.436908, 5.840694], [-0.437004, 5.840758], [-0.437205, 5.841058], [-0.437485, 5.841277], [-0.437714, 5.841393], [-0.438019, 5.841506], [-0.438689, 5.84164], [-0.439359, 5.841775], [-0.440413, 5.842131], [-0.440812, 5.84241], [-0.441214, 5.84281], [-0.441281, 5.842926], [-0.441348, 5.843042], [-0.441659, 5.843737], [-0.44175, 5.843826], [-0.442187, 5.844096], [-0.442479, 5.84413], [-0.442771, 5.844163], [-0.442855, 5.844075], [-0.443034, 5.843887], [-0.443185, 5.843728], [-0.44336, 5.8435], [-0.443473, 5.84345], [-0.443744, 5.843185], [-0.443826, 5.843106], [-0.444104, 5.842835], [-0.444385, 5.842688], [-0.44514, 5.842194], [-0.445269, 5.842109], [-0.445826, 5.841709], [-0.446173, 5.841373], [-0.446265, 5.8413], [-0.446596, 5.841032], [-0.446939, 5.840754], [-0.447661, 5.840338], [-0.447798, 5.8402], [-0.449079, 5.839286], [-0.449768, 5.838923], [-0.449918, 5.838881], [-0.451951, 5.838316], [-0.452363, 5.838152], [-0.452775, 5.837989], [-0.453232, 5.837683], [-0.454191, 5.836727], [-0.454767, 5.83627], [-0.455148, 5.835891], [-0.455512, 5.835699], [-0.455803, 5.835927], [-0.456058, 5.836081], [-0.456426, 5.836304], [-0.456593, 5.836406], [-0.456776, 5.836558], [-0.457013, 5.836756], [-0.457101, 5.836625], [-0.457195, 5.836304], [-0.457277, 5.836021], [-0.457468, 5.8355], [-0.457683, 5.835053], [-0.457906, 5.834581], [-0.458231, 5.834135], [-0.458598, 5.833729], [-0.458732, 5.833427], [-0.45816, 5.83278], [-0.457559, 5.832766], [-0.454579, 5.833979], [-0.454568, 5.833819], [-0.454497, 5.833634], [-0.454255, 5.833386], [-0.453919, 5.833204], [-0.453366, 5.832875], [-0.452997, 5.832569], [-0.452662, 5.832259], [-0.452315, 5.831953], [-0.451851, 5.831371], [-0.451562, 5.831073], [-0.45132, 5.83088], [-0.451158, 5.830722], [-0.450902, 5.830424], [-0.450866, 5.830173], [-0.450806, 5.829851], [-0.450684, 5.82975], [-0.451091, 5.828692], [-0.451318, 5.827487], [-0.45083, 5.826471], [-0.44764, 5.822063], [-0.444224, 5.81773], [-0.441895, 5.816222], [-0.436971, 5.816292], [-0.436072, 5.818494], [-0.43735, 5.818974], [-0.438302, 5.819533], [-0.438666, 5.819746], [-0.439434, 5.8204], [-0.439955, 5.821021], [-0.43999, 5.822127], [-0.439989, 5.822134], [-0.439857, 5.823652], [-0.438834, 5.823947], [-0.437811, 5.823855], [-0.437458, 5.823401], [-0.436881, 5.822169], [-0.435821, 5.821571], [-0.43561, 5.821502], [-0.434131, 5.820935], [-0.433668, 5.820158], [-0.433122, 5.818832], [-0.432732, 5.817899], [-0.432686, 5.817647], [-0.432686, 5.817377], [-0.432835, 5.817265], [-0.432601, 5.81707], [-0.43193, 5.816524], [-0.431631, 5.816171], [-0.43135, 5.815644], [-0.431223, 5.815369], [-0.431095, 5.815095], [-0.431008, 5.814783], [-0.430917, 5.814455], [-0.430741, 5.813845], [-0.430516, 5.813137], [-0.430456, 5.812676], [-0.430407, 5.812172], [-0.430322, 5.811703], [-0.430215, 5.811234], [-0.430108, 5.810729], [-0.429977, 5.810109], [-0.429917, 5.809684], [-0.429904, 5.809614], [-0.429656, 5.809627], [-0.428776, 5.80944], [-0.428456, 5.809173], [-0.428256, 5.808613], [-0.428192, 5.808424], [-0.428128, 5.808235], [-0.428236, 5.80736], [-0.428387, 5.8069], [-0.428524, 5.806661], [-0.428778, 5.806358], [-0.428848, 5.806319], [-0.429086, 5.806187], [-0.429243, 5.806133], [-0.429416, 5.806101], [-0.429589, 5.80607], [-0.42959, 5.806069], [-0.429838, 5.806076]]]}}",474,0.954,1
39.8,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 320, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.209464, 5.549772], [-0.211763, 5.55266], [-0.210183, 5.553229], [-0.207287, 5.55184], [-0.209464, 5.549772]]]}}",320,0.921,1
178,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 463, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.245442, 5.541835], [-0.242946, 5.542213], [-0.242227, 5.536102], [-0.242427, 5.536034], [-0.244319, 5.536342], [-0.245442, 5.541835]]]}}",463,0.979,1
317,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 119, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.266654, 5.665857], [-0.260725, 5.668052], [-0.260291, 5.667898], [-0.259494, 5.667523], [-0.258738, 5.667072], [-0.25803, 5.666549], [-0.257377, 5.66596], [-0.256785, 5.66531], [-0.25626, 5.664605], [-0.255807, 5.663853], [-0.25543, 5.66306], [-0.255133, 5.662234], [-0.255117, 5.66217], [-0.263936, 5.655606], [-0.264151, 5.65565], [-0.267414, 5.66395], [-0.266654, 5.665857]]]}}",119,0.983,1
276,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 307, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.146597, 5.885863], [-0.14659, 5.885836], [-0.146461, 5.884969], [-0.146417, 5.884093], [-0.146461, 5.883217], [-0.14659, 5.88235], [-0.146804, 5.881499], [-0.147101, 5.880674], [-0.147478, 5.879881], [-0.147931, 5.879129], [-0.148456, 5.878424], [-0.149048, 5.877775], [-0.149702, 5.877186], [-0.15041, 5.876663], [-0.151166, 5.876212], [-0.151963, 5.875837], [-0.152793, 5.875542], [-0.153648, 5.875329], [-0.15452, 5.8752], [-0.1554, 5.875157], [-0.156281, 5.8752], [-0.157153, 5.875329], [-0.158008, 5.875542], [-0.158838, 5.875837], [-0.159635, 5.876212], [-0.160391, 5.876663], [-0.161099, 5.877186], [-0.161752, 5.877775], [-0.162345, 5.878424], [-0.16287, 5.879129], [-0.163323, 5.879881], [-0.1637, 5.880674], [-0.163997, 5.881499], [-0.164211, 5.88235], [-0.16434, 5.883217], [-0.164384, 5.884093], [-0.16434, 5.884969], [-0.164211, 5.885836], [-0.163997, 5.886687], [-0.1637, 5.887513], [-0.163323, 5.888305], [-0.16287, 5.889058], [-0.162345, 5.889762], [-0.162085, 5.890046], [-0.146597, 5.885863]]]}}",307,0.977,1
228,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 447, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.269579, 5.580654], [-0.267437, 5.580749], [-0.262141, 5.579397], [-0.261765, 5.578516], [-0.266769, 5.573574], [-0.271233, 5.573198], [-0.271524, 5.57359], [-0.271977, 5.574342], [-0.272354, 5.575135], [-0.272651, 5.575961], [-0.272865, 5.576813], [-0.272995, 5.57768], [-0.273038, 5.578557], [-0.273025, 5.578813], [-0.269579, 5.580654]]]}}",447,0.979,1
205,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 145, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.27664, 5.626713], [-0.270443, 5.630262], [-0.267679, 5.628965], [-0.267153, 5.628341], [-0.267094, 5.626881], [-0.274593, 5.625395], [-0.27664, 5.626713]]]}}",145,0.983,1
