"kpi","time_grouping","space_boundary","space_grouping","avg_sites_reporting","est_uncertainty"
360,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 7, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.314338, 5.741519], [-0.317399, 5.75542], [-0.317055, 5.755625], [-0.316258, 5.756], [-0.315428, 5.756295], [-0.314573, 5.756509], [-0.313701, 5.756637], [-0.31282, 5.75668], [-0.31194, 5.756637], [-0.311068, 5.756509], [-0.310213, 5.756295], [-0.309383, 5.756], [-0.308586, 5.755625], [-0.30783, 5.755174], [-0.307599, 5.755004], [-0.314338, 5.741519]]]}}",7,0.980,1
222,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 190, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.181564, 5.836325], [-0.17053, 5.843802], [-0.166413, 5.838304], [-0.166416, 5.838252], [-0.166545, 5.837384], [-0.166759, 5.836533], [-0.167056, 5.835708], [-0.167433, 5.834915], [-0.167886, 5.834163], [-0.168411, 5.833458], [-0.169003, 5.832808], [-0.169657, 5.832219], [-0.170365, 5.831697], [-0.171121, 5.831246], [-0.171539, 5.83105], [-0.181618, 5.836213], [-0.181564, 5.836325]]]}}",190,0.982,1
146,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 125, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.249698, 5.544491], [-0.245442, 5.541835], [-0.244319, 5.536342], [-0.247233, 5.535211], [-0.249698, 5.544491]]]}}",125,0.905,1
167,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 160, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.263395, 6.050167], [-0.263335, 6.050291], [-0.262882, 6.051043], [-0.262357, 6.051747], [-0.261765, 6.052397], [-0.261112, 6.052985], [-0.260404, 6.053508], [-0.259648, 6.053958], [-0.258851, 6.054333], [-0.258021, 6.054628], [-0.257166, 6.054841], [-0.256294, 6.05497], [-0.255413, 6.055013], [-0.254532, 6.05497], [-0.25366, 6.054841], [-0.252805, 6.054628], [-0.251975, 6.054333], [-0.251178, 6.053958], [-0.250422, 6.053508], [-0.25006, 6.053241], [-0.246661, 6.044104], [-0.246817, 6.043487], [-0.247114, 6.042661], [-0.247491, 6.041869], [-0.247944, 6.041117], [-0.248469, 6.040413], [-0.249061, 6.039763], [-0.249714, 6.039175], [-0.250422, 6.038652], [-0.251178, 6.038202], [-0.251975, 6.037827], [-0.252805, 6.037531], [-0.25366, 6.037318], [-0.254532, 6.03719], [-0.255413, 6.037147], [-0.256294, 6.03719], [-0.257166, 6.037318], [-0.258021, 6.037531], [-0.258851, 6.037827], [-0.259648, 6.038202], [-0.260404, 6.038652], [-0.261112, 6.039175], [-0.261765, 6.039763], [-0.262357, 6.040413], [-0.262882, 6.041117], [-0.263105, 6.041487], [-0.263395, 6.050167]]]}}",160,0.983,1
233,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 280, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.292689, 5.665059], [-0.286394, 5.666465], [-0.284064, 5.660061], [-0.286484, 5.657563], [-0.29372, 5.661075], [-0.292689, 5.665059]]]}}",280,0.977,1
100,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 454, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.479771, 5.795583], [-0.4799, 5.794715], [-0.480114, 5.793865], [-0.480411, 5.793039], [-0.480788, 5.792246], [-0.481241, 5.791494], [-0.481767, 5.790789], [-0.482359, 5.790139], [-0.483012, 5.78955], [-0.48372, 5.789028], [-0.484476, 5.788577], [-0.485273, 5.788202], [-0.486103, 5.787907], [-0.486958, 5.787693], [-0.48783, 5.787565], [-0.488711, 5.787522], [-0.489591, 5.787565], [-0.490463, 5.787693], [-0.491318, 5.787907], [-0.492148, 5.788202], [-0.492945, 5.788577], [-0.493701, 5.789028], [-0.49441, 5.78955], [-0.495063, 5.790139], [-0.495655, 5.790789], [-0.49618, 5.791494], [-0.496633, 5.792246], [-0.49701, 5.793039], [-0.497307, 5.793865], [-0.497521, 5.794715], [-0.497651, 5.795583], [-0.497694, 5.796459], [-0.497651, 5.797335], [-0.497521, 5.798203], [-0.497307, 5.799053], [-0.49701, 5.799879], [-0.496633, 5.800672], [-0.49618, 5.801424], [-0.495655, 5.802129], [-0.495063, 5.802779], [-0.49441, 5.803368], [-0.493701, 5.80389], [-0.492945, 5.804341], [-0.492148, 5.804716], [-0.491318, 5.805011], [-0.490463, 5.805224], [-0.489591, 5.805353], [-0.488711, 5.805396], [-0.48783, 5.805353], [-0.486958, 5.805224], [-0.486103, 5.805011], [-0.485273, 5.804716], [-0.484476, 5.804341], [-0.48372, 5.80389], [-0.483012, 5.803368], [-0.482359, 5.802779], [-0.481767, 5.802129], [-0.481241, 5.801424], [-0.480788, 5.800672], [-0.480411, 5.799879], [-0.480114, 5.799053], [-0.4799, 5.798203], [-0.479771, 5.797335], [-0.479728, 5.796459], [-0.479771, 5.795583]]]}}",454,0.947,1
313,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 105, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.098715, 5.587322], [-0.094193, 5.594864], [-0.084679, 5.591679], [-0.084712, 5.591015], [-0.084842, 5.590147], [-0.085056, 5.589296], [-0.085353, 5.58847], [-0.08573, 5.587677], [-0.086183, 5.586924], [-0.086708, 5.58622], [-0.0873, 5.58557], [-0.087953, 5.58498], [-0.088661, 5.584458], [-0.089417, 5.584007], [-0.090214, 5.583631], [-0.091044, 5.583336], [-0.0919, 5.583123], [-0.092772, 5.582994], [-0.093652, 5.582951], [-0.094339, 5.582985], [-0.098715, 5.587322]]]}}",105,0.977,1
68.5,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 342, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.23494, 5.594969], [-0.231051, 5.597901], [-0.227183, 5.596272], [-0.225803, 5.592474], [-0.228502, 5.588654], [-0.233658, 5.591538], [-0.23494, 5.594969]]]}}",342,0.983,1
195,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 139, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.066824, 5.936168], [-0.063645, 5.940484], [-0.052957, 5.937803], [-0.052999, 5.936951], [-0.053129, 5.936083], [-0.053343, 5.935233], [-0.05364, 5.934407], [-0.054017, 5.933615], [-0.05447, 5.932863], [-0.054995, 5.932158], [-0.055587, 5.931509], [-0.05624, 5.93092], [-0.056948, 5.930397], [-0.057705, 5.929947], [-0.058501, 5.929572], [-0.059331, 5.929276], [-0.060187, 5.929063], [-0.061059, 5.928935], [-0.061939, 5.928892], [-0.06282, 5.928935], [-0.063692, 5.929063], [-0.064244, 5.929201], [-0.066824, 5.936168]]]}}",139,0.977,1
78.5,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 219, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.221448, 5.591356], [-0.221413, 5.597075], [-0.212418, 5.599562], [-0.212314, 5.599389], [-0.211937, 5.598596], [-0.21164, 5.59777], [-0.211426, 5.596919], [-0.211381, 5.596619], [-0.211548, 5.596109], [-0.220475, 5.590759], [-0.221448, 5.591356]]]}}",219,0.981,1
97.5,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 396, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.169857, 5.67996], [-0.167432, 5.679627], [-0.166695, 5.676974], [-0.167425, 5.676639], [-0.168938, 5.678527], [-0.169857, 5.67996]]]}}",396,0.983,1
33.2,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 116, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.206649, 5.543008], [-0.204104, 5.545142], [-0.196462, 5.543436], [-0.196459, 5.543411], [-0.196415, 5.542534], [-0.196459, 5.541658], [-0.196588, 5.54079], [-0.196802, 5.539939], [-0.197099, 5.539113], [-0.197476, 5.53832], [-0.197929, 5.537567], [-0.198454, 5.536862], [-0.199046, 5.536212], [-0.1997, 5.535623], [-0.200408, 5.5351], [-0.201164, 5.534649], [-0.201961, 5.534274], [-0.202791, 5.533978], [-0.203646, 5.533765], [-0.204518, 5.533636], [-0.205398, 5.533593], [-0.206279, 5.533636], [-0.207151, 5.533765], [-0.208006, 5.533978], [-0.208836, 5.534274], [-0.209477, 5.534576], [-0.206649, 5.543008]]]}}",116,0.679,1
54.4,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 402, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.182773, 5.548398], [-0.182651, 5.556082], [-0.178974, 5.556788], [-0.177606, 5.54412], [-0.178392, 5.54384], [-0.179247, 5.543627], [-0.180119, 5.543498], [-0.180418, 5.543483], [-0.182773, 5.548398]]]}}",402,0.978,1
225,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 4, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.303351, 5.609038], [-0.294151, 5.614921], [-0.289001, 5.61034], [-0.288971, 5.610152], [-0.289034, 5.609945], [-0.30042, 5.603933], [-0.300558, 5.604016], [-0.301266, 5.604538], [-0.301359, 5.604622], [-0.303351, 5.609038]]]}}",4,0.983,1
200,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 149, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.134858, 5.663001], [-0.129476, 5.654873], [-0.129765, 5.654069], [-0.130142, 5.653276], [-0.130595, 5.652524], [-0.13112, 5.651819], [-0.131712, 5.651169], [-0.132365, 5.65058], [-0.133074, 5.650057], [-0.13383, 5.649606], [-0.134627, 5.649231], [-0.135408, 5.648953], [-0.143254, 5.65682], [-0.134858, 5.663001]]]}}",149,0.979,1
192,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 222, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.175278, 5.682772], [-0.175231, 5.683092], [-0.175016, 5.683943], [-0.174719, 5.684769], [-0.174343, 5.685562], [-0.173889, 5.686315], [-0.173364, 5.687019], [-0.172772, 5.687669], [-0.172119, 5.688258], [-0.171411, 5.688781], [-0.170655, 5.689232], [-0.169858, 5.689607], [-0.169028, 5.689902], [-0.168173, 5.690116], [-0.167301, 5.690244], [-0.16642, 5.690287], [-0.16554, 5.690244], [-0.164668, 5.690116], [-0.163812, 5.689902], [-0.162982, 5.689607], [-0.162185, 5.689232], [-0.161429, 5.688781], [-0.160721, 5.688258], [-0.160068, 5.687669], [-0.159476, 5.687019], [-0.158951, 5.686315], [-0.158498, 5.685562], [-0.158121, 5.684769], [-0.157824, 5.683943], [-0.15761, 5.683092], [-0.15748, 5.682225], [-0.157437, 5.681348], [-0.15748, 5.680472], [-0.157593, 5.679714], [-0.163382, 5.679129], [-0.167432, 5.679627], [-0.169857, 5.67996], [-0.175278, 5.682772]]]}}",222,0.981,1
292,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 213, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.273291, 5.669125], [-0.270306, 5.676837], [-0.259628, 5.673634], [-0.259584, 5.673342], [-0.259541, 5.672466], [-0.259584, 5.67159], [-0.259713, 5.670722], [-0.259928, 5.669871], [-0.260225, 5.669045], [-0.260602, 5.668252], [-0.260721, 5.668053], [-0.266654, 5.665857], [-0.273291, 5.669125]]]}}",213,0.979,1
280,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 459, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.283635, 5.670968], [-0.278554, 5.672974], [-0.277435, 5.672608], [-0.273916, 5.669044], [-0.278047, 5.66487], [-0.284127, 5.669828], [-0.283635, 5.670968]]]}}",459,0.981,1
70.4,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 383, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.259945, 5.550538], [-0.257146, 5.54986], [-0.251475, 5.546092], [-0.254303, 5.541985], [-0.255118, 5.541116], [-0.258634, 5.539801], [-0.261752, 5.548232], [-0.259945, 5.550538]]]}}",383,0.982,1
224,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 24, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.279854, 5.621549], [-0.273924, 5.620198], [-0.277206, 5.616182], [-0.279897, 5.616961], [-0.279854, 5.621549]]]}}",24,0.980,1
211,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 73, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.261103, 5.5832], [-0.262141, 5.579397], [-0.267437, 5.580749], [-0.261103, 5.5832]]]}}",73,0.982,1
335,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 47, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.240571, 5.695333], [-0.240422, 5.694742], [-0.240293, 5.693874], [-0.24025, 5.692998], [-0.240293, 5.692122], [-0.240353, 5.691722], [-0.247859, 5.684175], [-0.248352, 5.684102], [-0.249233, 5.684059], [-0.250113, 5.684102], [-0.250985, 5.684231], [-0.251841, 5.684444], [-0.252671, 5.68474], [-0.253468, 5.685115], [-0.254224, 5.685566], [-0.254932, 5.686088], [-0.255585, 5.686677], [-0.256177, 5.687327], [-0.256702, 5.688032], [-0.257155, 5.688784], [-0.257532, 5.689577], [-0.257829, 5.690403], [-0.258043, 5.691254], [-0.258173, 5.692122], [-0.258216, 5.692998], [-0.258173, 5.693874], [-0.258075, 5.69453], [-0.240571, 5.695333]]]}}",47,0.978,1
157,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 163, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.211377, 5.596633], [-0.210773, 5.597178], [-0.210065, 5.5977], [-0.209309, 5.598151], [-0.208512, 5.598527], [-0.207682, 5.598822], [-0.206827, 5.599035], [-0.205955, 5.599164], [-0.205074, 5.599207], [-0.204194, 5.599164], [-0.203322, 5.599035], [-0.202467, 5.598822], [-0.201636, 5.598527], [-0.201317, 5.598376], [-0.199617, 5.588308], [-0.199734, 5.58638], [-0.20537, 5.583452], [-0.210714, 5.589222], [-0.211548, 5.596109], [-0.211377, 5.596633]]]}}",163,0.732,1
157,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 355, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.261765, 5.578516], [-0.25985, 5.577777], [-0.259847, 5.574297], [-0.262472, 5.572671], [-0.266769, 5.573574], [-0.261765, 5.578516]]]}}",355,0.982,1
523,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 310, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.290769, 5.683221], [-0.290683, 5.683461], [-0.290306, 5.684254], [-0.289853, 5.685006], [-0.289328, 5.685711], [-0.288736, 5.686361], [-0.288083, 5.68695], [-0.287375, 5.687472], [-0.286619, 5.687923], [-0.285822, 5.688299], [-0.284992, 5.688594], [-0.284137, 5.688807], [-0.283265, 5.688936], [-0.282384, 5.688979], [-0.281503, 5.688936], [-0.280631, 5.688807], [-0.279941, 5.688635], [-0.27603, 5.683004], [-0.280464, 5.677504], [-0.285193, 5.676801], [-0.29087, 5.68067], [-0.290769, 5.683221]]]}}",310,0.978,1
222,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 113, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.149971, 5.66028], [-0.150032, 5.660686], [-0.150075, 5.661563], [-0.150032, 5.662439], [-0.149902, 5.663307], [-0.149688, 5.664158], [-0.149391, 5.664984], [-0.149014, 5.665777], [-0.148561, 5.666529], [-0.148036, 5.667234], [-0.147807, 5.667485], [-0.135531, 5.666816], [-0.134858, 5.663001], [-0.143254, 5.65682], [-0.14544, 5.657448], [-0.149971, 5.66028]]]}}",113,0.979,1
569,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 442, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.29087, 5.68067], [-0.295248, 5.673799], [-0.303207, 5.672673], [-0.303534, 5.67278], [-0.303613, 5.672817], [-0.304369, 5.673268], [-0.305078, 5.673791], [-0.305731, 5.67438], [-0.306323, 5.67503], [-0.306848, 5.675734], [-0.307301, 5.676487], [-0.307678, 5.67728], [-0.307975, 5.678106], [-0.308189, 5.678957], [-0.308319, 5.679825], [-0.308362, 5.680701], [-0.308319, 5.681577], [-0.308189, 5.682445], [-0.307975, 5.683296], [-0.307678, 5.684122], [-0.307301, 5.684915], [-0.306848, 5.685667], [-0.306323, 5.686372], [-0.305731, 5.687022], [-0.305078, 5.687611], [-0.304369, 5.688133], [-0.303613, 5.688584], [-0.302816, 5.688959], [-0.301986, 5.689255], [-0.301131, 5.689468], [-0.300259, 5.689597], [-0.299379, 5.68964], [-0.298498, 5.689597], [-0.297626, 5.689468], [-0.296771, 5.689255], [-0.295941, 5.688959], [-0.295144, 5.688584], [-0.294388, 5.688133], [-0.29368, 5.687611], [-0.293027, 5.687022], [-0.292435, 5.686372], [-0.291909, 5.685667], [-0.291456, 5.684915], [-0.291079, 5.684122], [-0.290782, 5.683296], [-0.290769, 5.683241], [-0.29087, 5.68067]]]}}",442,0.965,1
97.8,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 42, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.213013, 5.654013], [-0.217282, 5.6585], [-0.217398, 5.659279], [-0.217441, 5.660155], [-0.217398, 5.661032], [-0.217269, 5.661899], [-0.217055, 5.66275], [-0.216758, 5.663576], [-0.216381, 5.664369], [-0.215927, 5.665122], [-0.215402, 5.665826], [-0.21481, 5.666476], [-0.214157, 5.667066], [-0.213449, 5.667588], [-0.212693, 5.668039], [-0.211896, 5.668414], [-0.211066, 5.66871], [-0.210211, 5.668923], [-0.209339, 5.669052], [-0.208458, 5.669095], [-0.207578, 5.669052], [-0.206706, 5.668923], [-0.205851, 5.66871], [-0.20502, 5.668414], [-0.204224, 5.668039], [-0.203467, 5.667588], [-0.202759, 5.667066], [-0.202106, 5.666476], [-0.201514, 5.665826], [-0.200989, 5.665122], [-0.200536, 5.664369], [-0.200159, 5.663576], [-0.199862, 5.66275], [-0.199648, 5.661899], [-0.199518, 5.661032], [-0.199475, 5.660155], [-0.199518, 5.659279], [-0.199648, 5.658411], [-0.199862, 5.65756], [-0.200159, 5.656734], [-0.200536, 5.655941], [-0.200989, 5.655189], [-0.201514, 5.654484], [-0.202106, 5.653834], [-0.202137, 5.653806], [-0.213013, 5.654013]]]}}",42,0.936,1
350,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 297, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.314338, 5.741519], [-0.307596, 5.755009], [-0.306829, 5.754737], [-0.306032, 5.754362], [-0.305276, 5.753911], [-0.304568, 5.753388], [-0.303915, 5.752799], [-0.303323, 5.752149], [-0.302798, 5.751445], [-0.302345, 5.750692], [-0.301968, 5.749899], [-0.301671, 5.749074], [-0.301456, 5.748223], [-0.301327, 5.747355], [-0.301284, 5.746479], [-0.301327, 5.745603], [-0.301456, 5.744735], [-0.301671, 5.743884], [-0.301968, 5.743059], [-0.302345, 5.742266], [-0.302798, 5.741513], [-0.303323, 5.740809], [-0.303915, 5.740159], [-0.304568, 5.73957], [-0.305276, 5.739047], [-0.306032, 5.738596], [-0.306829, 5.738221], [-0.307659, 5.737926], [-0.308514, 5.737713], [-0.309386, 5.737584], [-0.310267, 5.737541], [-0.311148, 5.737584], [-0.31202, 5.737713], [-0.312875, 5.737926], [-0.313705, 5.738221], [-0.314361, 5.73853], [-0.314338, 5.741519]]]}}",297,0.952,1
257,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 273, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.269321, 5.618477], [-0.265201, 5.62383], [-0.263146, 5.622827], [-0.263048, 5.617025], [-0.264658, 5.615175], [-0.266824, 5.614441], [-0.269321, 5.618477]]]}}",273,0.983,1
220,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 400, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.16778, 5.858892], [-0.174334, 5.857867], [-0.174691, 5.85813], [-0.175344, 5.858719], [-0.175936, 5.859369], [-0.176461, 5.860073], [-0.176915, 5.860826], [-0.177292, 5.861618], [-0.177589, 5.862444], [-0.177803, 5.863295], [-0.177932, 5.864162], [-0.177975, 5.865038], [-0.177932, 5.865914], [-0.177803, 5.866781], [-0.177589, 5.867632], [-0.177292, 5.868458], [-0.176915, 5.869251], [-0.176461, 5.870003], [-0.175936, 5.870707], [-0.175344, 5.871357], [-0.174691, 5.871946], [-0.173983, 5.872468], [-0.173227, 5.872919], [-0.17243, 5.873294], [-0.1716, 5.873589], [-0.170745, 5.873802], [-0.169873, 5.873931], [-0.168992, 5.873974], [-0.168112, 5.873931], [-0.16724, 5.873802], [-0.166385, 5.873589], [-0.165555, 5.873294], [-0.164758, 5.872919], [-0.164632, 5.872844], [-0.16778, 5.858892]]]}}",400,0.797,1
287,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 205, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.303351, 5.609038], [-0.301362, 5.604628], [-0.301394, 5.603976], [-0.301523, 5.603108], [-0.301737, 5.602257], [-0.302034, 5.601431], [-0.302411, 5.600638], [-0.302864, 5.599885], [-0.30339, 5.59918], [-0.303982, 5.59853], [-0.304635, 5.597941], [-0.305343, 5.597419], [-0.306099, 5.596967], [-0.306896, 5.596592], [-0.307726, 5.596297], [-0.308581, 5.596084], [-0.309453, 5.595955], [-0.310334, 5.595912], [-0.311214, 5.595955], [-0.312086, 5.596084], [-0.312941, 5.596297], [-0.313771, 5.596592], [-0.314568, 5.596967], [-0.315324, 5.597419], [-0.316032, 5.597941], [-0.316686, 5.59853], [-0.317278, 5.59918], [-0.317803, 5.599885], [-0.318256, 5.600638], [-0.318633, 5.601431], [-0.31893, 5.602257], [-0.319144, 5.603108], [-0.319273, 5.603976], [-0.319317, 5.604852], [-0.319273, 5.605728], [-0.319144, 5.606596], [-0.31893, 5.607447], [-0.318633, 5.608273], [-0.318256, 5.609066], [-0.317803, 5.609819], [-0.317278, 5.610524], [-0.316686, 5.611174], [-0.316032, 5.611763], [-0.315324, 5.612286], [-0.314568, 5.612737], [-0.313771, 5.613112], [-0.312941, 5.613407], [-0.312086, 5.61362], [-0.311214, 5.613749], [-0.310334, 5.613792], [-0.309453, 5.613749], [-0.308581, 5.61362], [-0.307726, 5.613407], [-0.306896, 5.613112], [-0.306636, 5.61299], [-0.303351, 5.609038]]]}}",205,0.980,1
0,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 48, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.307049, 5.543882], [-0.306869, 5.55424], [-0.306386, 5.554411], [-0.305531, 5.554625], [-0.304659, 5.554753], [-0.303779, 5.554796], [-0.302898, 5.554753], [-0.302026, 5.554625], [-0.301171, 5.554411], [-0.300341, 5.554116], [-0.299544, 5.553741], [-0.298788, 5.55329], [-0.29808, 5.552767], [-0.297427, 5.552178], [-0.296835, 5.551527], [-0.296309, 5.550823], [-0.295856, 5.55007], [-0.295479, 5.549277], [-0.295182, 5.548451], [-0.295126, 5.548226], [-0.307049, 5.543882]]]}}",48,0.000106,1
147,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 164, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.188555, 5.597781], [-0.177259, 5.60407], [-0.176604, 5.603837], [-0.175807, 5.603461], [-0.175051, 5.60301], [-0.174343, 5.602488], [-0.173689, 5.601899], [-0.173097, 5.601248], [-0.172572, 5.600544], [-0.172119, 5.599791], [-0.171742, 5.598998], [-0.171445, 5.598172], [-0.171231, 5.597321], [-0.171102, 5.596453], [-0.171058, 5.595577], [-0.171102, 5.5947], [-0.171231, 5.593833], [-0.171445, 5.592982], [-0.171742, 5.592155], [-0.172119, 5.591362], [-0.172572, 5.59061], [-0.173097, 5.589905], [-0.173689, 5.589255], [-0.174343, 5.588666], [-0.175051, 5.588143], [-0.175807, 5.587692], [-0.176604, 5.587317], [-0.177434, 5.587021], [-0.178289, 5.586808], [-0.179161, 5.586679], [-0.180041, 5.586636], [-0.180922, 5.586679], [-0.181794, 5.586808], [-0.182649, 5.587021], [-0.182821, 5.587083], [-0.188062, 5.595764], [-0.188555, 5.597781]]]}}",164,0.976,1
21.4,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 182, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.209199, 5.560908], [-0.207981, 5.561775], [-0.199034, 5.562706], [-0.196939, 5.561897], [-0.196755, 5.561168], [-0.196626, 5.5603], [-0.196583, 5.559424], [-0.196626, 5.558548], [-0.196755, 5.55768], [-0.19697, 5.556829], [-0.197267, 5.556002], [-0.197644, 5.555209], [-0.198024, 5.554577], [-0.202187, 5.554065], [-0.207358, 5.556541], [-0.209432, 5.558707], [-0.209437, 5.560585], [-0.209199, 5.560908]]]}}",182,0.972,1
151,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 272, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.238496, 5.606405], [-0.229053, 5.603657], [-0.231128, 5.599274], [-0.239013, 5.606135], [-0.238496, 5.606405]]]}}",272,0.919,1
216,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 169, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.249554, 5.607621], [-0.243618, 5.603993], [-0.24708, 5.597498], [-0.250689, 5.599856], [-0.251599, 5.601686], [-0.249554, 5.607621]]]}}",169,0.983,1
81.9,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 410, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.224111, 5.602749], [-0.221354, 5.602938], [-0.222969, 5.597533], [-0.225959, 5.597088], [-0.224111, 5.602749]]]}}",410,0.983,1
54.1,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 473, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.212199, 5.56155], [-0.209437, 5.560585], [-0.209432, 5.558707], [-0.211738, 5.557203], [-0.216002, 5.557705], [-0.214386, 5.559561], [-0.212199, 5.56155]]]}}",473,0.774,1
188,2024-01-01 00:00:00.000,"{""type"": ""Feature"", ""id"": 195, ""properties"": {}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-0.272945, 5.681371], [-0.272606, 5.681555], [-0.257477, 5.680536], [-0.257453, 5.680376], [-0.25741, 5.6795], [-0.257453, 5.678624], [-0.257582, 5.677756], [-0.257797, 5.676905], [-0.258094, 5.676079], [-0.258471, 5.675286], [-0.258924, 5.674534], [-0.259449, 5.673829], [-0.259627, 5.673634], [-0.270306, 5.676837], [-0.272945, 5.681371]]]}}",195,0.983,1
