,site_id,sensor_id,coef_Temp,sig_Temp,cesi_level
141,175,3c77ee61,-1.11382108238577,True,Low
142,177,2452e5d8,-2.5035215899640146,True,Low
143,179,43ad5b00,-1.1678398693537038,True,Low
144,180,e6feda48,-1.49487180507779,True,Low
145,182,94289874,-1.354252804730732,True,Low
146,183,0802489d,-1.6510797554299117,True,Low
147,185,af5b99af,-1.307928110436907,True,Low
148,185,c013fea0,-1.434728085628676,True,Low
149,186,8ca350ae,-1.7447206034652833,True,Low
150,189,15b87afd,-1.3009815988190923,True,High
151,189,93a27b0b,-1.7818652743795318,True,High
152,191,f7c70dff,-0.9258555075167081,True,High
153,193,3b262c8e,-0.49426480158964653,True,Low
154,193,dfe31266,-0.5214510560505865,True,Low
155,193,f250daff,-1.436043520944569,True,Low
156,194,373f32fe,-2.681888973605788,True,High
157,194,9b636316,-2.7711252514793965,True,High
158,194,ac014293,-2.4243326494636737,True,High
159,195,1eff7781,-0.2640711673858256,True,Low
160,196,80bc4187,-0.9283732478906973,True,Low
161,196,b48a690d,-0.9334552342418754,True,Low
162,200,f39d0f64,-1.1103569177277839,True,Low
163,201,46d58d20,-2.2760041221443776,True,Low
164,204,1cfa81af,-1.3728548590702012,True,Low
165,204,f52a7b26,-1.5867169376757908,True,Low
166,211,5b942daa,-0.4942800310045963,True,Low
167,211,6b25e802,-0.707619020303944,True,Low
168,212,11aa8d2c,-1.004349931048226,True,Low
169,213,7c127e0c,-1.1142286578573422,True,Low
170,216,96d58178,-0.878278633005511,True,Low
171,216,c0d8a65b,-0.8984785827096551,True,Low
172,217,c9f2f917,-1.5877099403495714,True,Low
173,218,3417f333,-2.4029585113007443,True,Low
174,218,76309eaf,-1.6259715936147567,True,Low
175,218,9c8aaa3d,-0.8807157751120066,True,Low
176,221,e68ba2f6,-1.9989142837766252,True,Low
177,221,f7145494,-1.0073339690734788,True,Low
178,222,1a1ccd82,-0.9970762703558949,True,High
179,222,2087c181,-1.570872863481823,True,High
180,222,d14e3c0c,-0.5933488072565256,True,High
181,223,5b13954f,-0.8941520573920289,True,Low
182,223,62b00e14,-0.6600552693365405,True,Low
183,226,b3039ef6,-2.7869188156367986,True,High
184,229,9c4530df,1.6472557100785163,True,Low
185,232,858674f6,-1.3689564522707958,True,Low
186,232,ace09420,-3.1082341403644573,True,Low
187,235,a2c775ff,-1.3159962186728407,True,Low
188,236,6fd01d87,-1.282754763390032,True,Low
189,236,8d83ea32,-0.7070487337913351,True,Low
190,236,bbbf629e,-0.9962121663886059,True,Low
191,238,38610bce,-1.3726486851663446,True,Low
192,240,23d53819,-1.4689967520783143,True,Low
193,241,20bb6504,-2.5555973035821427,True,High
194,242,cf347849,-1.1310218044032705,True,High
195,243,08cd7558,-1.2844461904194147,True,Low
196,243,ecd778f6,-2.1417942412516764,True,Low
197,244,7866731e,-0.9124268565174453,True,Low
198,245,47a85128,-1.4555365637852558,True,Low
199,245,7658d5ed,-0.5194256245612892,True,Low
200,248,5af55b44,-0.7927420184296453,True,Low
201,252,3e617dd6,-0.6747387781542393,True,Low
202,254,7fe175dc,-0.4674352719331079,True,Low
203,254,a9960fd3,-1.5283589027366509,True,Low
204,256,6b8027f8,-0.6664864283539447,True,Low
205,259,70ea9056,-0.8860486331746953,True,Low
206,259,b90640d3,-1.3910843286336836,True,Low
207,266,2ba0e179,-1.4703856729017708,True,Low
208,267,7a89840d,-2.2899423439169384,True,Low
209,270,3f98d904,-0.7935837122894638,True,Low
210,270,8a11171a,-0.700404879269549,True,Low
211,272,7241c503,-2.1491163145018866,True,Low
212,273,09c62b54,-1.1724348368660626,True,High
213,273,51711a39,-0.9189290600096506,True,High
214,273,ab9264a3,-1.7052447542510771,True,High
215,274,27545182,-0.27438692215029725,True,Low
216,274,bef4d169,-0.23966392014717794,True,Low
217,276,016b30fc,-1.3946753218279553,True,High
218,276,4708cd45,-1.5537348130307331,True,High
219,276,619a69af,-1.4814113465886427,True,High
220,276,a3d8726e,-2.67996488152665,True,High
221,281,17737832,-0.7780939348740513,True,Low
222,281,abd56f17,0.9557873593353994,True,Low
223,287,339c2a84,-0.7696290999851823,True,Low
224,287,86e68e1d,-0.513749452017773,True,Low
225,287,fb4afecc,-0.7138386183357239,True,Low
226,288,3270b147,-3.3660159925156288,True,Low
227,288,dfffbe67,-0.3948424605013887,True,Low
228,290,1763445a,-1.3443792479740009,True,Low
229,290,94c2dc89,-0.786089711153986,True,Low
230,290,9d1200d9,-1.170516582882101,True,Low
231,291,3c4b4f82,-1.4777987492492821,True,Low
232,291,eecdfa72,-1.2777270776218206,True,Low
233,294,340c965d,-2.1878972559523024,True,Low
234,294,98a5e5e3,-1.3382197858871834,True,Low
235,296,e5a16be9,-1.2633579618133115,True,Low
236,297,2b2f635a,-0.7827433380628694,True,Low
237,299,2a6e5205,-1.5970250470508196,True,Low
238,299,f46c7d1b,-0.6247164778644896,True,Low
239,301,3a7f6bec,-1.7185673081585884,True,Low
240,303,4473c67c,-0.958883662004498,True,High
241,303,9cdf2656,-1.7689440422472695,True,High
242,303,e8219d4c,-1.2855763451658286,True,High
243,304,745b544d,-1.4189664136074103,True,High
244,304,9737ddde,-0.48403127480530067,True,High
245,305,4a2cbfd3,-1.7983123838300274,True,High
246,308,db7796e7,-1.4547258866512156,True,Low
247,309,8fe10f3f,-1.1976127453338095,True,Low
248,311,52261a74,-3.232736770167203,True,Low
249,316,46762839,-1.5697328657573986,True,High
250,316,a8160c6e,-0.9445538681413712,True,High
251,316,e2524502,-2.3931277054165054,True,High
252,318,2d718383,-1.724553914228984,True,Low
253,319,1079a3fa,-1.562191485404095,True,Low
254,320,08c5b7de,-1.2900487201656796,True,High
255,320,70448d13,-1.5360407952769461,True,High
256,325,82d1f76b,-0.45206561598621336,True,Low
257,326,947a66dd,-0.7589878112886691,True,Low
258,329,4a6dea21,-0.45582222865242555,True,Low
259,329,591e416b,-0.2775672763970431,True,Low
260,330,40b9924c,-1.4004409463397505,True,High
261,330,bec5dc42,-1.4718240571162373,True,High
262,331,0ddbdc7e,-0.3648369571333941,True,Low
263,331,92ad4ff1,-0.7971762949157073,True,Low
264,333,1324787c,-0.7998185430945569,True,High
265,335,f6bd2169,-2.164893209379768,True,Low
266,336,018aefc6,-2.595271120945089,True,High
267,337,0ce9f8b0,-1.1186559396084133,True,High
268,339,114aa82f,-0.5035029201311545,True,High
269,339,5cf9fc2d,-0.40935680270191616,True,High
270,341,50fa7d53,-1.0376667065017227,True,High
271,341,6ec56de8,-1.104113442891844,True,High
